id,batchnum,condition,case,consistency
5e543be4d1db96705ff13dc6,17,ind in groups,0,0
5e9f4c929dc0406f89879f11,17,ind in groups,0,0
5ea076809dc0406f8987dd98,17,ind in groups,0,0
,18,group,1,1
,18,nominal,0,1
5d482ea921c9be351f7636ad,18,individual,0,1
5d482ea921c9be351f763783,18,individual,0,1
5d482eaa21c9be351f76396d,18,individual,0,1
5ea06c089dc0406f8987c3c6,18,individual,0,1
5d482ea921c9be351f7636ad,18,ind in groups,1,1
5d482ea921c9be351f763783,18,ind in groups,1,1
5d482eaa21c9be351f76396d,18,ind in groups,1,1
5ea06c089dc0406f8987c3c6,18,ind in groups,1,1
,19,group,0,0
,19,nominal,1,0
5d482eab21c9be351f763f68,19,individual,1,0
5ea06f469dc0406f8987c82e,19,individual,1,1
,20,group,0,1
,20,nominal,1,1
5d482ea921c9be351f7638f9,20,individual,1,1
5d482eaa21c9be351f763c0e,20,individual,1,1
5d482eaa21c9be351f763db1,20,individual,1,0
5e9f44049dc0406f898789b2,20,individual,1,1
5d482ea921c9be351f7638f9,20,ind in groups,0,0
5d482eaa21c9be351f763c0e,20,ind in groups,0,1
5d482eaa21c9be351f763dc7,20,ind in groups,0,1
5d482eaa21c9be351f763db1,20,ind in groups,0,1
,21,group,1,0
,21,nominal,0,0
5d482eaa21c9be351f763a45,21,individual,0,0
5e9f4d469dc0406f8987a196,21,individual,0,0
5ea076269dc0406f8987dbf8,21,individual,0,1
5d482eaa21c9be351f763a45,21,ind in groups,1,1
5e9f4d469dc0406f8987a196,21,ind in groups,1,1
5ea076269dc0406f8987dbf8,21,ind in groups,1,1
5ea07d9c9dc0406f89880001,21,ind in groups,1,0
,22,group,1,1
,22,nominal,0,1
5ea0998a9dc0406f8988308f,22,individual,0,1
5ea099d09dc0406f898830a9,22,individual,0,1
5ea098d69dc0406f89883084,22,ind in groups,1,1
5ea0998a9dc0406f8988308f,22,ind in groups,1,1
5ea099d09dc0406f898830a9,22,ind in groups,1,1
,23,group,1,1
,23,nominal,0,0
5d482ea721c9be351f762e70,23,individual,0,1
5d482ea821c9be351f763117,23,individual,0,1
5d482ea821c9be351f7633d5,23,individual,0,1
5d482eab21c9be351f763ea6,23,individual,0,0
5d482ea721c9be351f762e70,23,ind in groups,1,1
5d482ea821c9be351f76325f,23,ind in groups,1,1
5d482eab21c9be351f763ea6,23,ind in groups,1,1
,24,group,1,1
,24,nominal,0,1
5d482ea721c9be351f762f60,24,individual,0,1
5d482ea721c9be351f763052,24,individual,0,1
5d482ea821c9be351f7631c5,24,individual,0,1
5d482ea821c9be351f76349b,24,individual,0,0
5d482ea821c9be351f763495,24,individual,0,0
5d482ea821c9be351f7631c5,24,ind in groups,1,1
5d482ea821c9be351f763495,24,ind in groups,1,1
,25,group,0,1
,25,nominal,1,1
5d482ea721c9be351f762efd,25,individual,1,1
5d482ea921c9be351f76365b,25,individual,1,1
5d482ea721c9be351f762efd,25,ind in groups,0,1
,26,group,0,0
,26,nominal,1,1
