id,batchnum,condition,case,consistency
5e9f4de69dc0406f8987a25d,8,ind in groups,0,1
5e9f4fc69dc0406f8987a506,8,ind in groups,0,1
5e9f50169dc0406f8987a5aa,8,ind in groups,0,1
5e9f51109dc0406f8987a7e0,8,ind in groups,0,1
5e9f53cc9dc0406f8987ac5a,8,ind in groups,0,0
,9,group,1,1
,9,nominal,0,1
5d482eaa21c9be351f763bb5,9,individual,0,1
5d482eaa21c9be351f763c90,9,individual,0,0
5d482eaa21c9be351f763d6b,9,individual,0,1
5d482eab21c9be351f764047,9,individual,0,0
5d482eab21c9be351f7641ca,9,individual,0,0
5e9f48469dc0406f8987976c,9,individual,0,1
5d482eaa21c9be351f763bb5,9,ind in groups,1,0
5d482eaa21c9be351f763c90,9,ind in groups,1,0
5d482eaa21c9be351f763d6b,9,ind in groups,1,1
5d482eab21c9be351f764047,9,ind in groups,1,0
5d482eab21c9be351f7641ca,9,ind in groups,1,1
5e9f48469dc0406f8987976c,9,ind in groups,1,1
,10,group,1,1
,10,nominal,0,0
5d482eab21c9be351f7641c0,10,individual,0,1
5e31d6b2e31c5304c46f140a,10,individual,0,0
5e84cbb050f6e364321d6258,10,individual,0,1
5e9de7129dc0406f898722c9,10,individual,0,0
5e9f3a0e9dc0406f898777e6,10,individual,0,1
5e9f42d89dc0406f89878720,10,individual,0,1
5e9f433c9dc0406f898787dd,10,individual,0,1
5d482eab21c9be351f7641c0,10,ind in groups,1,1
5e31d6b2e31c5304c46f140a,10,ind in groups,1,1
5e84cbb050f6e364321d6258,10,ind in groups,1,1
5e9de7129dc0406f898722c9,10,ind in groups,1,1
5e9f3a0e9dc0406f898777e6,10,ind in groups,1,1
5e9f42d89dc0406f89878720,10,ind in groups,1,1
5e9f433c9dc0406f898787dd,10,ind in groups,1,1
,11,group,0,1
,11,nominal,1,1
5e873eea46f3b80a33438f43,11,individual,1,1
5e9f0b249dc0406f89874b78,11,individual,1,0
5e9f140c9dc0406f89875398,11,individual,1,1
5e9f363a9dc0406f8987761a,11,individual,1,1
5e9f40089dc0406f8987805e,11,individual,1,0
5e9f40129dc0406f89878121,11,individual,1,1
5e9f42069dc0406f89878581,11,individual,1,1
5e873eea46f3b80a33438f43,11,ind in groups,0,1
5e9f140c9dc0406f89875398,11,ind in groups,0,1
5e9f363a9dc0406f8987761a,11,ind in groups,0,1
5e9f3dd89dc0406f89877d08,11,ind in groups,0,1
5e9f40089dc0406f8987805e,11,ind in groups,0,0
5e9f40129dc0406f89878121,11,ind in groups,0,0
5e9f42069dc0406f89878581,11,ind in groups,0,1
,12,group,1,1
,12,nominal,0,1
5d482eab21c9be351f763fa9,12,individual,0,0
5d482eab21c9be351f764056,12,individual,0,1
5d482eab21c9be351f764150,12,individual,0,1
5e84ccaa50f6e364321d626c,12,individual,0,1
5e9f12369dc0406f8987514b,12,individual,0,1
5e9f36e49dc0406f8987767c,12,individual,0,1
5e9f37669dc0406f89877682,12,individual,0,1
5d482eab21c9be351f763fa9,12,ind in groups,1,1
