"","id","batchnum","condition","case","consistency","Segment"
"95","5d482eab21c9be351f763f55",6,"ind in groups",1,0,"Before"
"96","5d482eab21c9be351f7640b5",6,"ind in groups",1,1,"Before"
"97","5d482eab21c9be351f7640bf",6,"ind in groups",1,0,"Before"
"98","5e9de5509dc0406f89872263",6,"ind in groups",1,0,"Before"
"99","5e9f0ac09dc0406f898749a1",6,"ind in groups",1,1,"Before"
"100","5e9f0ac09dc0406f898749a2",6,"ind in groups",1,1,"Before"
"101","",7,"group",0,1,"Before"
"102","",7,"nominal",1,1,"Before"
"103","5d482eab21c9be351f76412c",7,"individual",1,1,"Before"
"104","5e543e5ad1db96705ff13ef0",7,"individual",1,1,"Before"
"105","5e877e32a44a3116d9b95ef1",7,"individual",1,1,"Before"
"106","5e9de8489dc0406f898722ef",7,"individual",1,1,"Before"
"107","5e9dea1e9dc0406f89872527",7,"individual",1,1,"Before"
"108","5e9deb229dc0406f898725e9",7,"individual",1,1,"Before"
"109","5e9decf89dc0406f89872747",7,"individual",1,0,"Before"
"110","5d482eab21c9be351f76412c",7,"ind in groups",0,0,"Before"
"111","5e543e5ad1db96705ff13ef0",7,"ind in groups",0,0,"Before"
"112","5e877e32a44a3116d9b95ef1",7,"ind in groups",0,0,"Before"
"113","5e9de8489dc0406f898722ef",7,"ind in groups",0,1,"Before"
"114","5e9dea1e9dc0406f89872527",7,"ind in groups",0,1,"Before"
"115","5e9deb229dc0406f898725e9",7,"ind in groups",0,0,"Before"
"116","5e9decf89dc0406f89872747",7,"ind in groups",0,0,"Before"
"117","",8,"group",0,0,"Before"
"118","",8,"nominal",1,0,"Before"
"119","5d482ea821c9be351f763565",8,"individual",1,1,"Before"
"120","5e9deb409dc0406f898725ea",8,"individual",1,0,"Before"
"121","5e9f37529dc0406f89877680",8,"individual",1,1,"Before"
"122","5e9f4de69dc0406f8987a25d",8,"individual",1,0,"Before"
"123","5e9f4fc69dc0406f8987a506",8,"individual",1,0,"Before"
"124","5e9f50169dc0406f8987a5aa",8,"individual",1,1,"Before"
"125","5e9f51109dc0406f8987a7e0",8,"individual",1,1,"Before"
"126","5e9f53cc9dc0406f8987ac5a",8,"individual",1,1,"Before"
"127","5d482ea821c9be351f763565",8,"ind in groups",0,0,"Before"
"128","5e9f37529dc0406f89877680",8,"ind in groups",0,1,"Before"
"129","5e9f4de69dc0406f8987a25d",8,"ind in groups",0,1,"Before"
"130","5e9f4fc69dc0406f8987a506",8,"ind in groups",0,1,"Before"
"131","5e9f50169dc0406f8987a5aa",8,"ind in groups",0,1,"Before"
"132","5e9f51109dc0406f8987a7e0",8,"ind in groups",0,1,"Before"
"133","5e9f53cc9dc0406f8987ac5a",8,"ind in groups",0,0,"Before"
"134","",9,"group",1,1,"Before"
"135","",9,"nominal",0,1,"Before"
"136","5d482eaa21c9be351f763bb5",9,"individual",0,1,"Before"
"137","5d482eaa21c9be351f763c90",9,"individual",0,0,"Before"
"138","5d482eaa21c9be351f763d6b",9,"individual",0,1,"Before"
"139","5d482eab21c9be351f764047",9,"individual",0,0,"Before"
"140","5d482eab21c9be351f7641ca",9,"individual",0,0,"Before"
"141","5e9f48469dc0406f8987976c",9,"individual",0,1,"Before"
"142","5d482eaa21c9be351f763bb5",9,"ind in groups",1,0,"Before"
"143","5d482eaa21c9be351f763c90",9,"ind in groups",1,0,"Before"
"144","5d482eaa21c9be351f763d6b",9,"ind in groups",1,1,"Before"
"145","5d482eab21c9be351f764047",9,"ind in groups",1,0,"Before"
"146","5d482eab21c9be351f7641ca",9,"ind in groups",1,1,"Before"
"147","5e9f48469dc0406f8987976c",9,"ind in groups",1,1,"Before"
"148","",10,"group",1,1,"Before"
"149","",10,"nominal",0,0,"Before"
"150","5d482eab21c9be351f7641c0",10,"individual",0,1,"Before"
"151","5e31d6b2e31c5304c46f140a",10,"individual",0,0,"Before"
"152","5e84cbb050f6e364321d6258",10,"individual",0,1,"Before"
"153","5e9de7129dc0406f898722c9",10,"individual",0,0,"Before"
"154","5e9f3a0e9dc0406f898777e6",10,"individual",0,1,"Before"
"155","5e9f42d89dc0406f89878720",10,"individual",0,1,"Before"
"156","5e9f433c9dc0406f898787dd",10,"individual",0,1,"Before"
"157","5d482eab21c9be351f7641c0",10,"ind in groups",1,1,"Before"
"158","5e31d6b2e31c5304c46f140a",10,"ind in groups",1,1,"Before"
"159","5e84cbb050f6e364321d6258",10,"ind in groups",1,1,"Before"
"160","5e9de7129dc0406f898722c9",10,"ind in groups",1,1,"Before"
"161","5e9f3a0e9dc0406f898777e6",10,"ind in groups",1,1,"Before"
"162","5e9f42d89dc0406f89878720",10,"ind in groups",1,1,"Before"
"163","5e9f433c9dc0406f898787dd",10,"ind in groups",1,1,"Before"
"164","",11,"group",0,1,"Before"
"165","",11,"nominal",1,1,"Before"
"166","5e873eea46f3b80a33438f43",11,"individual",1,1,"Before"
"167","5e9f0b249dc0406f89874b78",11,"individual",1,0,"Before"
"168","5e9f140c9dc0406f89875398",11,"individual",1,1,"Before"
"169","5e9f363a9dc0406f8987761a",11,"individual",1,1,"Before"
"170","5e9f40089dc0406f8987805e",11,"individual",1,0,"Before"
"171","5e9f40129dc0406f89878121",11,"individual",1,1,"Before"
"172","5e9f42069dc0406f89878581",11,"individual",1,1,"Before"
"173","5e873eea46f3b80a33438f43",11,"ind in groups",0,1,"Before"
"174","5e9f140c9dc0406f89875398",11,"ind in groups",0,1,"Before"
"175","5e9f363a9dc0406f8987761a",11,"ind in groups",0,1,"Before"
"176","5e9f3dd89dc0406f89877d08",11,"ind in groups",0,1,"Before"
"177","5e9f40089dc0406f8987805e",11,"ind in groups",0,0,"Before"
"178","5e9f40129dc0406f89878121",11,"ind in groups",0,0,"Before"
"179","5e9f42069dc0406f89878581",11,"ind in groups",0,1,"Before"
"180","",12,"group",1,1,"Before"
"181","",12,"nominal",0,1,"Before"
"182","5d482eab21c9be351f763fa9",12,"individual",0,0,"Before"
"183","5d482eab21c9be351f764056",12,"individual",0,1,"Before"
"184","5d482eab21c9be351f764150",12,"individual",0,1,"Before"
"185","5e84ccaa50f6e364321d626c",12,"individual",0,1,"Before"
"186","5e9f12369dc0406f8987514b",12,"individual",0,1,"Before"
"187","5e9f36e49dc0406f8987767c",12,"individual",0,1,"Before"
"188","5e9f37669dc0406f89877682",12,"individual",0,1,"Before"
"189","5d482eab21c9be351f763fa9",12,"ind in groups",1,1,"Before"
"190","5d482eab21c9be351f764056",12,"ind in groups",1,1,"Before"
"191","5d482eab21c9be351f764150",12,"ind in groups",1,1,"Before"
"192","5e84ccaa50f6e364321d626c",12,"ind in groups",1,0,"Before"
"193","5e9f12369dc0406f8987514b",12,"ind in groups",1,0,"Before"
"194","5e9f36e49dc0406f8987767c",12,"ind in groups",1,0,"Before"
"195","5e9f37669dc0406f89877682",12,"ind in groups",1,1,"Before"
"196","",13,"group",0,0,"Before"
